Causas (lista reducida);Sexo;Provincia de residencia;Total
021 Melanoma maligno de la piel;Mujeres;Ourense;8
021 Melanoma maligno de la piel;Mujeres;Palencia;0
021 Melanoma maligno de la piel;Mujeres;Palmas, Las;18
021 Melanoma maligno de la piel;Mujeres;Pontevedra;7
021 Melanoma maligno de la piel;Mujeres;Rioja, La;1
021 Melanoma maligno de la piel;Mujeres;Salamanca;7
021 Melanoma maligno de la piel;Mujeres;Santa Cruz de Tenerife;8
021 Melanoma maligno de la piel;Mujeres;Segovia;0
021 Melanoma maligno de la piel;Mujeres;Sevilla;12
021 Melanoma maligno de la piel;Mujeres;Soria;0
021 Melanoma maligno de la piel;Mujeres;Tarragona;7
021 Melanoma maligno de la piel;Mujeres;Teruel;2
021 Melanoma maligno de la piel;Mujeres;Toledo;4
021 Melanoma maligno de la piel;Mujeres;Valencia/València;29
021 Melanoma maligno de la piel;Mujeres;Valladolid;4
021 Melanoma maligno de la piel;Mujeres;Zamora;2
021 Melanoma maligno de la piel;Mujeres;Zaragoza;14
021 Melanoma maligno de la piel;Mujeres;Ceuta;0
021 Melanoma maligno de la piel;Mujeres;Melilla;0
021 Melanoma maligno de la piel;Mujeres;Extranjero;0
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Total;1.669
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Albacete;20
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Alicante/Alacant;67
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Almería;28
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Araba/Álava;13
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Asturias;46
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Ávila;9
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Badajoz;21
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Balears, Illes;25
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Barcelona;197
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Bizkaia;71
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Burgos;13
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Cáceres;14
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Cádiz;45
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Cantabria;19
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Castellón/Castelló;12
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Ciudad Real;25
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Córdoba;26
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Coruña, A;45
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Cuenca;10
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Gipuzkoa;38
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Girona;19
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Granada;36
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Guadalajara;14
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Huelva;22
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Huesca;11
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Jaén;26
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;León;24
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Lleida;15
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Lugo;19
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Madrid;204
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Málaga;54
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Murcia;51
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Navarra;21
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Ourense;23
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Palencia;5
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Palmas, Las;42
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Pontevedra;25
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Rioja, La;7
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Salamanca;14
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Santa Cruz de Tenerife;23
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Segovia;9
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Sevilla;51
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Soria;3
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Tarragona;26
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Teruel;4
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Toledo;21
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Valencia/València;83
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Valladolid;18
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Zamora;9
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Zaragoza;39
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Ceuta;4
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Melilla;0
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Extranjero;3
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Total;967
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Albacete;14
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Alicante/Alacant;45
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Almería;18
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Araba/Álava;4
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Asturias;23
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Ávila;6
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Badajoz;14
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Balears, Illes;15
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Barcelona;115
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Bizkaia;45
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Burgos;10
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Cáceres;7
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Cádiz;20
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Cantabria;14
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Castellón/Castelló;6
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Ciudad Real;18
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Córdoba;13
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Coruña, A;15
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Cuenca;8
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Gipuzkoa;22
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Girona;12
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Granada;15
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Guadalajara;11
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Huelva;12
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Huesca;7
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Jaén;11
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;León;16
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Lleida;11
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Lugo;12
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Madrid;120
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Málaga;33
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Murcia;35
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Navarra;13
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Ourense;16
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Palencia;2
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Palmas, Las;23
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Pontevedra;9
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Rioja, La;2
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Salamanca;8
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Santa Cruz de Tenerife;12
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Segovia;6
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Sevilla;24
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Soria;2
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Tarragona;11
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Teruel;0
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Toledo;11
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Valencia/València;56
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Valladolid;9
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Zamora;4
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Zaragoza;27
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Ceuta;2
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Melilla;0
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Extranjero;3
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Total;702
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Albacete;6
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Alicante/Alacant;22
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Almería;10
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Araba/Álava;9
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Asturias;23
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Ávila;3
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Badajoz;7
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Balears, Illes;10
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Barcelona;82
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Bizkaia;26
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Burgos;3
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Cáceres;7
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Cádiz;25
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Cantabria;5
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Castellón/Castelló;6
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Ciudad Real;7
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Córdoba;13
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Coruña, A;30
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Cuenca;2
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Gipuzkoa;16
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Girona;7
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Granada;21
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Guadalajara;3
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Huelva;10
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Huesca;4
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Jaén;15
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;León;8
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Lleida;4
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Lugo;7
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Madrid;84
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Málaga;21
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Murcia;16
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Navarra;8
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Ourense;7
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Palencia;3
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Palmas, Las;19
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Pontevedra;16
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Rioja, La;5
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Salamanca;6
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Santa Cruz de Tenerife;11
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Segovia;3
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Sevilla;27
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Soria;1
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Tarragona;15
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Teruel;4
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Toledo;10
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Valencia/València;27
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Valladolid;9
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Zamora;5
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Zaragoza;12
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Ceuta;2
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Melilla;0
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Extranjero;0
023 Tumor maligno de la mama;Ambos sexos;Total;6.651
023 Tumor maligno de la mama;Ambos sexos;Albacete;48
023 Tumor maligno de la mama;Ambos sexos;Alicante/Alacant;257
023 Tumor maligno de la mama;Ambos sexos;Almería;90
023 Tumor maligno de la mama;Ambos sexos;Araba/Álava;39
023 Tumor maligno de la mama;Ambos sexos;Asturias;213
023 Tumor maligno de la mama;Ambos sexos;Ávila;27
023 Tumor maligno de la mama;Ambos sexos;Badajoz;102
023 Tumor maligno de la mama;Ambos sexos;Balears, Illes;146
023 Tumor maligno de la mama;Ambos sexos;Barcelona;789
023 Tumor maligno de la mama;Ambos sexos;Bizkaia;174
023 Tumor maligno de la mama;Ambos sexos;Burgos;47
023 Tumor maligno de la mama;Ambos sexos;Cáceres;68
023 Tumor maligno de la mama;Ambos sexos;Cádiz;189
023 Tumor maligno de la mama;Ambos sexos;Cantabria;88
023 Tumor maligno de la mama;Ambos sexos;Castellón/Castelló;75
023 Tumor maligno de la mama;Ambos sexos;Ciudad Real;58
023 Tumor maligno de la mama;Ambos sexos;Córdoba;105
023 Tumor maligno de la mama;Ambos sexos;Coruña, A;168
023 Tumor maligno de la mama;Ambos sexos;Cuenca;26
023 Tumor maligno de la mama;Ambos sexos;Gipuzkoa;92
023 Tumor maligno de la mama;Ambos sexos;Girona;100
023 Tumor maligno de la mama;Ambos sexos;Granada;105
023 Tumor maligno de la mama;Ambos sexos;Guadalajara;17
023 Tumor maligno de la mama;Ambos sexos;Huelva;80
023 Tumor maligno de la mama;Ambos sexos;Huesca;24
023 Tumor maligno de la mama;Ambos sexos;Jaén;85
023 Tumor maligno de la mama;Ambos sexos;León;75
023 Tumor maligno de la mama;Ambos sexos;Lleida;68
023 Tumor maligno de la mama;Ambos sexos;Lugo;61
023 Tumor maligno de la mama;Ambos sexos;Madrid;822
023 Tumor maligno de la mama;Ambos sexos;Málaga;226
023 Tumor maligno de la mama;Ambos sexos;Murcia;179
023 Tumor maligno de la mama;Ambos sexos;Navarra;94
023 Tumor maligno de la mama;Ambos sexos;Ourense;55
023 Tumor maligno de la mama;Ambos sexos;Palencia;22
023 Tumor maligno de la mama;Ambos sexos;Palmas, Las;164
023 Tumor maligno de la mama;Ambos sexos;Pontevedra;156
023 Tumor maligno de la mama;Ambos sexos;Rioja, La;48
023 Tumor maligno de la mama;Ambos sexos;Salamanca;61
023 Tumor maligno de la mama;Ambos sexos;Santa Cruz de Tenerife;162
023 Tumor maligno de la mama;Ambos sexos;Segovia;27
023 Tumor maligno de la mama;Ambos sexos;Sevilla;259
023 Tumor maligno de la mama;Ambos sexos;Soria;20
023 Tumor maligno de la mama;Ambos sexos;Tarragona;118
023 Tumor maligno de la mama;Ambos sexos;Teruel;23
023 Tumor maligno de la mama;Ambos sexos;Toledo;85
023 Tumor maligno de la mama;Ambos sexos;Valencia/València;393
023 Tumor maligno de la mama;Ambos sexos;Valladolid;82
023 Tumor maligno de la mama;Ambos sexos;Zamora;34
023 Tumor maligno de la mama;Ambos sexos;Zaragoza;167
023 Tumor maligno de la mama;Ambos sexos;Ceuta;13
023 Tumor maligno de la mama;Ambos sexos;Melilla;10
023 Tumor maligno de la mama;Ambos sexos;Extranjero;15
023 Tumor maligno de la mama;Hombres;Total;79
023 Tumor maligno de la mama;Hombres;Albacete;1
023 Tumor maligno de la mama;Hombres;Alicante/Alacant;3
023 Tumor maligno de la mama;Hombres;Almería;1
023 Tumor maligno de la mama;Hombres;Araba/Álava;0
023 Tumor maligno de la mama;Hombres;Asturias;3
023 Tumor maligno de la mama;Hombres;Ávila;0
023 Tumor maligno de la mama;Hombres;Badajoz;2
023 Tumor maligno de la mama;Hombres;Balears, Illes;3
023 Tumor maligno de la mama;Hombres;Barcelona;4
023 Tumor maligno de la mama;Hombres;Bizkaia;2
023 Tumor maligno de la mama;Hombres;Burgos;0
023 Tumor maligno de la mama;Hombres;Cáceres;0
023 Tumor maligno de la mama;Hombres;Cádiz;3
023 Tumor maligno de la mama;Hombres;Cantabria;1
023 Tumor maligno de la mama;Hombres;Castellón/Castelló;2
023 Tumor maligno de la mama;Hombres;Ciudad Real;0
023 Tumor maligno de la mama;Hombres;Córdoba;0
023 Tumor maligno de la mama;Hombres;Coruña, A;5
023 Tumor maligno de la mama;Hombres;Cuenca;1
023 Tumor maligno de la mama;Hombres;Gipuzkoa;0
023 Tumor maligno de la mama;Hombres;Girona;0
023 Tumor maligno de la mama;Hombres;Granada;1
023 Tumor maligno de la mama;Hombres;Guadalajara;0
023 Tumor maligno de la mama;Hombres;Huelva;0
023 Tumor maligno de la mama;Hombres;Huesca;0
023 Tumor maligno de la mama;Hombres;Jaén;1
023 Tumor maligno de la mama;Hombres;León;0
023 Tumor maligno de la mama;Hombres;Lleida;0
023 Tumor maligno de la mama;Hombres;Lugo;2
023 Tumor maligno de la mama;Hombres;Madrid;10
023 Tumor maligno de la mama;Hombres;Málaga;6
023 Tumor maligno de la mama;Hombres;Murcia;1
023 Tumor maligno de la mama;Hombres;Navarra;1
023 Tumor maligno de la mama;Hombres;Ourense;0
023 Tumor maligno de la mama;Hombres;Palencia;0
023 Tumor maligno de la mama;Hombres;Palmas, Las;1
023 Tumor maligno de la mama;Hombres;Pontevedra;1
023 Tumor maligno de la mama;Hombres;Rioja, La;1
023 Tumor maligno de la mama;Hombres;Salamanca;0
023 Tumor maligno de la mama;Hombres;Santa Cruz de Tenerife;3
023 Tumor maligno de la mama;Hombres;Segovia;1
023 Tumor maligno de la mama;Hombres;Sevilla;4
023 Tumor maligno de la mama;Hombres;Soria;1
023 Tumor maligno de la mama;Hombres;Tarragona;2
023 Tumor maligno de la mama;Hombres;Teruel;0
023 Tumor maligno de la mama;Hombres;Toledo;2
023 Tumor maligno de la mama;Hombres;Valencia/València;7
023 Tumor maligno de la mama;Hombres;Valladolid;1
023 Tumor maligno de la mama;Hombres;Zamora;0
023 Tumor maligno de la mama;Hombres;Zaragoza;2
023 Tumor maligno de la mama;Hombres;Ceuta;0
023 Tumor maligno de la mama;Hombres;Melilla;0
023 Tumor maligno de la mama;Hombres;Extranjero;0
023 Tumor maligno de la mama;Mujeres;Total;6.572
023 Tumor maligno de la mama;Mujeres;Albacete;47
023 Tumor maligno de la mama;Mujeres;Alicante/Alacant;254
023 Tumor maligno de la mama;Mujeres;Almería;89
023 Tumor maligno de la mama;Mujeres;Araba/Álava;39
023 Tumor maligno de la mama;Mujeres;Asturias;210
023 Tumor maligno de la mama;Mujeres;Ávila;27
023 Tumor maligno de la mama;Mujeres;Badajoz;100
023 Tumor maligno de la mama;Mujeres;Balears, Illes;143
023 Tumor maligno de la mama;Mujeres;Barcelona;785
023 Tumor maligno de la mama;Mujeres;Bizkaia;172
023 Tumor maligno de la mama;Mujeres;Burgos;47
023 Tumor maligno de la mama;Mujeres;Cáceres;68
023 Tumor maligno de la mama;Mujeres;Cádiz;186
023 Tumor maligno de la mama;Mujeres;Cantabria;87
023 Tumor maligno de la mama;Mujeres;Castellón/Castelló;73
023 Tumor maligno de la mama;Mujeres;Ciudad Real;58
023 Tumor maligno de la mama;Mujeres;Córdoba;105
023 Tumor maligno de la mama;Mujeres;Coruña, A;163
023 Tumor maligno de la mama;Mujeres;Cuenca;25
023 Tumor maligno de la mama;Mujeres;Gipuzkoa;92
023 Tumor maligno de la mama;Mujeres;Girona;100
023 Tumor maligno de la mama;Mujeres;Granada;104
023 Tumor maligno de la mama;Mujeres;Guadalajara;17
023 Tumor maligno de la mama;Mujeres;Huelva;80
023 Tumor maligno de la mama;Mujeres;Huesca;24
023 Tumor maligno de la mama;Mujeres;Jaén;84
023 Tumor maligno de la mama;Mujeres;León;75
023 Tumor maligno de la mama;Mujeres;Lleida;68
023 Tumor maligno de la mama;Mujeres;Lugo;59
023 Tumor maligno de la mama;Mujeres;Madrid;812
023 Tumor maligno de la mama;Mujeres;Málaga;220
023 Tumor maligno de la mama;Mujeres;Murcia;178
023 Tumor maligno de la mama;Mujeres;Navarra;93
023 Tumor maligno de la mama;Mujeres;Ourense;55
023 Tumor maligno de la mama;Mujeres;Palencia;22
023 Tumor maligno de la mama;Mujeres;Palmas, Las;163
023 Tumor maligno de la mama;Mujeres;Pontevedra;155
023 Tumor maligno de la mama;Mujeres;Rioja, La;47
023 Tumor maligno de la mama;Mujeres;Salamanca;61
023 Tumor maligno de la mama;Mujeres;Santa Cruz de Tenerife;159
023 Tumor maligno de la mama;Mujeres;Segovia;26
023 Tumor maligno de la mama;Mujeres;Sevilla;255
023 Tumor maligno de la mama;Mujeres;Soria;19
023 Tumor maligno de la mama;Mujeres;Tarragona;116
023 Tumor maligno de la mama;Mujeres;Teruel;23
023 Tumor maligno de la mama;Mujeres;Toledo;83
023 Tumor maligno de la mama;Mujeres;Valencia/València;386
023 Tumor maligno de la mama;Mujeres;Valladolid;81
023 Tumor maligno de la mama;Mujeres;Zamora;34
023 Tumor maligno de la mama;Mujeres;Zaragoza;165
023 Tumor maligno de la mama;Mujeres;Ceuta;13
023 Tumor maligno de la mama;Mujeres;Melilla;10
023 Tumor maligno de la mama;Mujeres;Extranjero;15
024 Tumor maligno del cuello del útero;Ambos sexos;Total;673
024 Tumor maligno del cuello del útero;Ambos sexos;Albacete;2
024 Tumor maligno del cuello del útero;Ambos sexos;Alicante/Alacant;32
024 Tumor maligno del cuello del útero;Ambos sexos;Almería;13
024 Tumor maligno del cuello del útero;Ambos sexos;Araba/Álava;4
024 Tumor maligno del cuello del útero;Ambos sexos;Asturias;27
024 Tumor maligno del cuello del útero;Ambos sexos;Ávila;1
024 Tumor maligno del cuello del útero;Ambos sexos;Badajoz;4
024 Tumor maligno del cuello del útero;Ambos sexos;Balears, Illes;28
024 Tumor maligno del cuello del útero;Ambos sexos;Barcelona;63
024 Tumor maligno del cuello del útero;Ambos sexos;Bizkaia;17
024 Tumor maligno del cuello del útero;Ambos sexos;Burgos;4
024 Tumor maligno del cuello del útero;Ambos sexos;Cáceres;9
024 Tumor maligno del cuello del útero;Ambos sexos;Cádiz;13
024 Tumor maligno del cuello del útero;Ambos sexos;Cantabria;9
024 Tumor maligno del cuello del útero;Ambos sexos;Castellón/Castelló;14
024 Tumor maligno del cuello del útero;Ambos sexos;Ciudad Real;9
024 Tumor maligno del cuello del útero;Ambos sexos;Córdoba;12
024 Tumor maligno del cuello del útero;Ambos sexos;Coruña, A;19
024 Tumor maligno del cuello del útero;Ambos sexos;Cuenca;5
024 Tumor maligno del cuello del útero;Ambos sexos;Gipuzkoa;10
024 Tumor maligno del cuello del útero;Ambos sexos;Girona;12
024 Tumor maligno del cuello del útero;Ambos sexos;Granada;9
024 Tumor maligno del cuello del útero;Ambos sexos;Guadalajara;2
024 Tumor maligno del cuello del útero;Ambos sexos;Huelva;8
024 Tumor maligno del cuello del útero;Ambos sexos;Huesca;2
024 Tumor maligno del cuello del útero;Ambos sexos;Jaén;11
024 Tumor maligno del cuello del útero;Ambos sexos;León;6
024 Tumor maligno del cuello del útero;Ambos sexos;Lleida;9
024 Tumor maligno del cuello del útero;Ambos sexos;Lugo;3
024 Tumor maligno del cuello del útero;Ambos sexos;Madrid;86
024 Tumor maligno del cuello del útero;Ambos sexos;Málaga;22
024 Tumor maligno del cuello del útero;Ambos sexos;Murcia;19
024 Tumor maligno del cuello del útero;Ambos sexos;Navarra;6
024 Tumor maligno del cuello del útero;Ambos sexos;Ourense;8
024 Tumor maligno del cuello del útero;Ambos sexos;Palencia;5
024 Tumor maligno del cuello del útero;Ambos sexos;Palmas, Las;21
024 Tumor maligno del cuello del útero;Ambos sexos;Pontevedra;12
024 Tumor maligno del cuello del útero;Ambos sexos;Rioja, La;2
024 Tumor maligno del cuello del útero;Ambos sexos;Salamanca;2
024 Tumor maligno del cuello del útero;Ambos sexos;Santa Cruz de Tenerife;23
024 Tumor maligno del cuello del útero;Ambos sexos;Segovia;5
024 Tumor maligno del cuello del útero;Ambos sexos;Sevilla;24
024 Tumor maligno del cuello del útero;Ambos sexos;Soria;1
024 Tumor maligno del cuello del útero;Ambos sexos;Tarragona;7
024 Tumor maligno del cuello del útero;Ambos sexos;Teruel;1
024 Tumor maligno del cuello del útero;Ambos sexos;Toledo;8
024 Tumor maligno del cuello del útero;Ambos sexos;Valencia/València;31
024 Tumor maligno del cuello del útero;Ambos sexos;Valladolid;9
024 Tumor maligno del cuello del útero;Ambos sexos;Zamora;2
024 Tumor maligno del cuello del útero;Ambos sexos;Zaragoza;16
024 Tumor maligno del cuello del útero;Ambos sexos;Ceuta;1
024 Tumor maligno del cuello del útero;Ambos sexos;Melilla;3
024 Tumor maligno del cuello del útero;Ambos sexos;Extranjero;2
024 Tumor maligno del cuello del útero;Hombres;Total;0
024 Tumor maligno del cuello del útero;Hombres;Albacete;0
024 Tumor maligno del cuello del útero;Hombres;Alicante/Alacant;0
024 Tumor maligno del cuello del útero;Hombres;Almería;0
024 Tumor maligno del cuello del útero;Hombres;Araba/Álava;0
024 Tumor maligno del cuello del útero;Hombres;Asturias;0
024 Tumor maligno del cuello del útero;Hombres;Ávila;0
024 Tumor maligno del cuello del útero;Hombres;Badajoz;0
024 Tumor maligno del cuello del útero;Hombres;Balears, Illes;0
024 Tumor maligno del cuello del útero;Hombres;Barcelona;0
024 Tumor maligno del cuello del útero;Hombres;Bizkaia;0
024 Tumor maligno del cuello del útero;Hombres;Burgos;0
024 Tumor maligno del cuello del útero;Hombres;Cáceres;0
024 Tumor maligno del cuello del útero;Hombres;Cádiz;0
024 Tumor maligno del cuello del útero;Hombres;Cantabria;0
