Causas (lista reducida);Sexo;Provincia de residencia;Total
001-102 I-XXII.Todas las causas;Hombres;León;3.822
001-102 I-XXII.Todas las causas;Hombres;Lleida;2.513
001-102 I-XXII.Todas las causas;Hombres;Lugo;2.497
001-102 I-XXII.Todas las causas;Hombres;Madrid;33.105
001-102 I-XXII.Todas las causas;Hombres;Málaga;7.388
001-102 I-XXII.Todas las causas;Hombres;Murcia;6.456
001-102 I-XXII.Todas las causas;Hombres;Navarra;3.345
001-102 I-XXII.Todas las causas;Hombres;Ourense;2.533
001-102 I-XXII.Todas las causas;Hombres;Palencia;1.308
001-102 I-XXII.Todas las causas;Hombres;Palmas, Las;4.481
001-102 I-XXII.Todas las causas;Hombres;Pontevedra;4.841
001-102 I-XXII.Todas las causas;Hombres;Rioja, La;1.893
001-102 I-XXII.Todas las causas;Hombres;Salamanca;2.597
001-102 I-XXII.Todas las causas;Hombres;Santa Cruz de Tenerife;4.284
001-102 I-XXII.Todas las causas;Hombres;Segovia;1.233
001-102 I-XXII.Todas las causas;Hombres;Sevilla;8.889
001-102 I-XXII.Todas las causas;Hombres;Soria;766
001-102 I-XXII.Todas las causas;Hombres;Tarragona;4.293
001-102 I-XXII.Todas las causas;Hombres;Teruel;1.032
001-102 I-XXII.Todas las causas;Hombres;Toledo;4.133
001-102 I-XXII.Todas las causas;Hombres;Valencia/València;12.855
001-102 I-XXII.Todas las causas;Hombres;Valladolid;3.088
001-102 I-XXII.Todas las causas;Hombres;Zamora;1.598
001-102 I-XXII.Todas las causas;Hombres;Zaragoza;5.727
001-102 I-XXII.Todas las causas;Hombres;Ceuta;320
001-102 I-XXII.Todas las causas;Hombres;Melilla;294
001-102 I-XXII.Todas las causas;Hombres;Extranjero;932
001-102 I-XXII.Todas las causas;Mujeres;Total;244.112
001-102 I-XXII.Todas las causas;Mujeres;Albacete;2.396
001-102 I-XXII.Todas las causas;Mujeres;Alicante/Alacant;8.174
001-102 I-XXII.Todas las causas;Mujeres;Almería;2.647
001-102 I-XXII.Todas las causas;Mujeres;Araba/Álava;1.550
001-102 I-XXII.Todas las causas;Mujeres;Asturias;7.477
001-102 I-XXII.Todas las causas;Mujeres;Ávila;1.233
001-102 I-XXII.Todas las causas;Mujeres;Badajoz;3.669
001-102 I-XXII.Todas las causas;Mujeres;Balears, Illes;4.112
001-102 I-XXII.Todas las causas;Mujeres;Barcelona;30.248
001-102 I-XXII.Todas las causas;Mujeres;Bizkaia;6.713
001-102 I-XXII.Todas las causas;Mujeres;Burgos;2.336
001-102 I-XXII.Todas las causas;Mujeres;Cáceres;2.813
001-102 I-XXII.Todas las causas;Mujeres;Cádiz;5.310
001-102 I-XXII.Todas las causas;Mujeres;Cantabria;3.291
001-102 I-XXII.Todas las causas;Mujeres;Castellón/Castelló;2.793
001-102 I-XXII.Todas las causas;Mujeres;Ciudad Real;3.409
001-102 I-XXII.Todas las causas;Mujeres;Córdoba;4.167
001-102 I-XXII.Todas las causas;Mujeres;Coruña, A;6.470
001-102 I-XXII.Todas las causas;Mujeres;Cuenca;1.526
001-102 I-XXII.Todas las causas;Mujeres;Gipuzkoa;3.931
001-102 I-XXII.Todas las causas;Mujeres;Girona;3.592
001-102 I-XXII.Todas las causas;Mujeres;Granada;4.780
001-102 I-XXII.Todas las causas;Mujeres;Guadalajara;1.300
001-102 I-XXII.Todas las causas;Mujeres;Huelva;2.275
001-102 I-XXII.Todas las causas;Mujeres;Huesca;1.402
001-102 I-XXII.Todas las causas;Mujeres;Jaén;3.690
001-102 I-XXII.Todas las causas;Mujeres;León;3.815
001-102 I-XXII.Todas las causas;Mujeres;Lleida;2.346
001-102 I-XXII.Todas las causas;Mujeres;Lugo;2.596
001-102 I-XXII.Todas las causas;Mujeres;Madrid;33.543
001-102 I-XXII.Todas las causas;Mujeres;Málaga;6.786
001-102 I-XXII.Todas las causas;Mujeres;Murcia;5.936
001-102 I-XXII.Todas las causas;Mujeres;Navarra;3.317
001-102 I-XXII.Todas las causas;Mujeres;Ourense;2.575
001-102 I-XXII.Todas las causas;Mujeres;Palencia;1.277
001-102 I-XXII.Todas las causas;Mujeres;Palmas, Las;3.805
001-102 I-XXII.Todas las causas;Mujeres;Pontevedra;4.930
001-102 I-XXII.Todas las causas;Mujeres;Rioja, La;1.807
001-102 I-XXII.Todas las causas;Mujeres;Salamanca;2.634
001-102 I-XXII.Todas las causas;Mujeres;Santa Cruz de Tenerife;3.916
001-102 I-XXII.Todas las causas;Mujeres;Segovia;1.195
001-102 I-XXII.Todas las causas;Mujeres;Sevilla;8.526
001-102 I-XXII.Todas las causas;Mujeres;Soria;765
001-102 I-XXII.Todas las causas;Mujeres;Tarragona;3.770
001-102 I-XXII.Todas las causas;Mujeres;Teruel;984
001-102 I-XXII.Todas las causas;Mujeres;Toledo;3.933
001-102 I-XXII.Todas las causas;Mujeres;Valencia/València;12.454
001-102 I-XXII.Todas las causas;Mujeres;Valladolid;3.146
001-102 I-XXII.Todas las causas;Mujeres;Zamora;1.639
001-102 I-XXII.Todas las causas;Mujeres;Zaragoza;6.080
001-102 I-XXII.Todas las causas;Mujeres;Ceuta;328
001-102 I-XXII.Todas las causas;Mujeres;Melilla;308
001-102 I-XXII.Todas las causas;Mujeres;Extranjero;397
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Total;80.796
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Albacete;1.200
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Alicante/Alacant;1.556
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Almería;380
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Araba/Álava;637
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Asturias;1.964
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Ávila;568
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Badajoz;621
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Balears, Illes;741
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Barcelona;13.741
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Bizkaia;1.787
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Burgos;979
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Cáceres;968
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Cádiz;891
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Cantabria;590
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Castellón/Castelló;527
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Ciudad Real;1.889
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Córdoba;769
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Coruña, A;811
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Cuenca;731
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Gipuzkoa;965
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Girona;1.149
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Granada;1.491
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Guadalajara;744
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Huelva;255
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Huesca;478
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Jaén;967
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;León;1.529
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Lleida;873
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Lugo;235
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Madrid;20.105
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Málaga;1.236
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Murcia;933
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Navarra;1.234
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Ourense;397
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Palencia;462
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Palmas, Las;266
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Pontevedra;533
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Rioja, La;690
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Salamanca;1.233
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Santa Cruz de Tenerife;468
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Segovia;766
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Sevilla;1.664
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Soria;391
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Tarragona;1.049
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Teruel;393
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Toledo;1.984
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Valencia/València;2.350
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Valladolid;1.415
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Zamora;639
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Zaragoza;2.264
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Ceuta;85
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Melilla;66
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Extranjero;137
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Total;41.837
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Albacete;634
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Alicante/Alacant;879
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Almería;210
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Araba/Álava;347
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Asturias;947
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ávila;297
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Badajoz;315
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Balears, Illes;417
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Barcelona;6.810
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Bizkaia;914
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Burgos;475
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cáceres;473
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cádiz;497
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cantabria;295
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Castellón/Castelló;288
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ciudad Real;965
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Córdoba;399
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Coruña, A;457
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cuenca;406
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Gipuzkoa;472
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Girona;572
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Granada;770
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Guadalajara;419
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Huelva;134
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Huesca;242
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Jaén;505
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;León;778
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Lleida;419
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Lugo;111
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Madrid;10.662
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Málaga;684
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Murcia;497
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Navarra;594
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ourense;198
